	Gujrati	English
5656	એશિયાઇ ચિત્તો	Asiatic cheetah
5657	જૂના ચરખા 	Charkha 
5658	અમેરિકન ફિલ્મ અભિનેતાઓ	American actors
5659	સેતી પ્રાંત	Seti Zone
5660	વ્યવસાય	Occupations
5661	બેરિલિયમ	Beryllium
5662	લાખાપાદર 	Lakhapadar
5663	બોરોન	Boron
5664	આંકડીયા મોટા 	Akadia, Gujarat
5666	ફ્લોરિન	Fluorine
5667	દેવરાજીયા 	Devrajiya
5668	રાંઢીયા 	Randhia
5669	નિયોન	Neon
5670	ફતેપુર 	Fatehpur, Gujarat
5671	આર્ગોન	Argon
5672	પોટેશિયમ	Potassium
5673	કેલ્શિયમ	Calcium
5674	સ્કેન્ડિયમ	Scandium
5675	ટાઇટેનિયમ	Titanium
5676	વેનેડિયમ	Vanadium
5677	જાળીયા 	Jalia
5678	વર્ણાતુ	Chromium
5679	ગેલિયમ	Gallium
5680	જર્મેનિયમ	Germanium
5681	હેલોવીન	Halloween
5682	અરજણસુખ 	Arjansukh
5683	સોમલ	Arsenic
5684	બરવાળા બાવળ 	Barvala-Baval
5685	સેલિનીયમ	Selenium
5687	બ્રોમિન	Bromine
5688	ક્રિપ્ટોન	Krypton
5689	રુબિડીયમ	Rubidium
5690	સ્ટ્રોન્શિયમ	Strontium
5691	ઈટ્રીયમ	Yttrium
5692	ઝિર્કોનિયમ	Zirconium
5693	નાયોબિયમ	Niobium
5694	દિવાળી	Diwali
5695	આધાશીશી 	Migraine
5696	આરઝી હકૂમત	Annexation of Junagadh
5697	ઢાંચો	Wikipedia templates
5698	માહિતીચોકઠાં	Infobox templates
5699	મોલિબ્ડેનમ	Molybdenum
5700	ટેક્નેશિયમ	Technetium
5701	INR	Indian Rupee
5702	રુથેનિયમ	Ruthenium
5703	રોડિયમ	Rhodium
5704	પલેડિયમ	Palladium
5706	વડીયા 	Vadia, Saurashtra
5707	બળેલ પીપરીયા 	Balel Pipariya
5708	કેડમિયમ	Cadmium
5709	ઈંડિયમ	Indium
5710	કલાઈ	Tin
5711	રાસાયણિક તત્વો	Chemical elements
5712	એંટિમની	Antimony
5713	ટેલુરિયમ	Tellurium
5716	User admin	User wikipedia/Administrator
5717	વિકિપીડિયા પ્રબંધક	Wikipedia administrators
5718	ભારતીય નાગરિકત્વ	Indian nationality law
5719	આયોડિન	Iodine
5720	ઝેનોન	Xenon
5721	કરીયાણા 	Kariana
5722	ચિકિત્સા પદ્ધતિ	Medicine
5723	સીસીયમ	Caesium
5724	બેરિયમ	Barium
5725	લેન્થેનમ	Lanthanum
5726	સિરીયમ	Cerium
5727	સરોજ પાઠક	Saroj Pathak
5728	પ્રેસિયોડિમિયમ	Praseodymium
5729	નિયોડીમીયમ	Neodymium
5730	ફીજી હિન્દી	Fiji Hindi
5731	ભારતીય ઉદ્યોગપતિઓ	Indian industrialists
5732	પ્રોમેથિયમ	Promethium
5733	સમેરિયમ	Samarium
5734	યુરોપિયમ	Europium
5735	ગેડોલિનીયમ	Gadolinium
5736	ટર્બિયમ	Terbium
5737	ડીસ્પ્રોસીયમ	Dysprosium
5738	હકારાત્મક માનસિક અભિગમ	Positive mental attitude
5739	નેશનલ સ્ટોક એક્સચેન્જ	National Stock Exchange of India
5740	હોલ્મીયમ	Holmium
5741	ગોરખનાથ	Gorakhnath
5742	યોગસૂત્ર	Yoga Sutras of Patanjali
5743	નાથ સંપ્રદાય	Nath
5744	અર્બિયમ	Erbium
5745	થુલિયમ	Thulium
5746	ઈટરબિયમ	Ytterbium
5747	લ્યુટેશિયમ	Lutetium
5748	હાફનીયમ	Hafnium
5749	ટેન્ટેલમ	Tantalum
5750	ટંગસ્ટન	Tungsten
5751	રિનીયમ	Rhenium
5752	ઓસ્મીયમ	Osmium
5753	ઈરિડીયમ	Iridium
5754	પ્લેટિનમ	Platinum
5755	પેજ રેન્ક	PageRank
5756	થેલીયમ	Thallium
5757	વિમળા શક્તિપીઠ	Vimala Temple
5758	ઑડિશા	Odisha
5759	સીસું	Lead
5760	બિસ્મથ	Bismuth
5761	સુબ્રમણ્યન ચંદ્રશેખર	Subrahmanyan Chandrasekhar
5762	Zazamental	Erdemaslancan
5763	પોલોનીયમ	Polonium
5764	એસ્ટાટીન	Astatine
5765	રેડૉન	Radon
5766	અડતાળા 	Adtala
5767	ચાવંડ 	Chavand, Gujarat
5768	ભટવદર 	Bhatvadar
5769	આંસોદર 	Ansodar
5770	મેકણ દાદા	Mekan Dada
5771	ફ્રાંસીયમ	Francium
5772	રેડિયમ	Radium
5773	એક્ટિનીયમ	Actinium
5774	થોરીયમ	Thorium
5775	પ્રોટેક્ટિનીયમ	Protactinium
5776	યુરેનિયમ	Uranium
5777	નેપ્ચ્યુનીયમ	Neptunium
5779	પ્લુટોનીયમ	Plutonium
5780	અમેરિસીયમ	Americium
5781	ભાસ	Bhāsa
5782	ગુજરાત સાયન્સ સીટી	Gujarat Science City
5783	ક્યુરીયમ	Curium
5784	બર્કેલીયમ	Berkelium
5785	કેલિફોર્નીયમ	Californium
5786	આઇન્સ્ટેનીયમ	Einsteinium
5787	ફર્મીયમ	Fermium
5788	મેન્ડેલિવીયમ	Mendelevium
5789	નોબેલીયમ	Nobelium
5790	હિન્દુત્વ	Hinduism
5792	લોરેન્સીયમ	Lawrencium
5793	રુથરફોર્ડીયમ	Rutherfordium
5794	ડૂબનીયમ	Dubnium
5795	સીબોર્ગીયમ	Seaborgium
5796	બોહ્રીયમ	Bohrium
5797	હેસીયમ	Hassium
5798	માઈટનિરીયમ	Meitnerium
5799	ડાર્મસ્ટેડીયમ	Darmstadtium
5800	રેન્ટજિનીયમ	Roentgenium
5801	કોપરનિસીયમ	Copernicium
5802	પાર્વતી	Parvati
5803	પ્રજાપતિ	Prajapati
5804	અગ્નિ	Agni
5805	વરૂણ	Varuna
5806	ઋગ્વેદ	Rigveda
5807	કારગિલ યુદ્ધ	Kargil War
5808	૨૦૦૮ મુંબઈ હુમલો	2008 Mumbai attacks
5809	આઈના મહેલ	Aina Mahal
5810	નારાયણ સરોવર અભયારણ્ય	Narayan Sarovar Sanctuary
5811	પંપા સરોવર	Pampa Sarovar
5812	કોરી ખાડી	Kori Creek
5813	પ્રાગ મહેલ	Prag Mahal
5814	ચારણ	Charan
5815	ગુજરાતના મહેલો	Palaces in Gujarat
5817	અબુલ કલામ આઝાદ	Abul Kalam Azad
5819	ઓઝોન	Ozone
5820	ગુરુ ગ્રંથ સાહેબ	Guru Granth Sahib
5821	ધર્મગ્રંથો	Religious books
5823	માનવેંદ્રસિંહ ગોહીલ	Manvendra Singh Gohil
5827	નિરોધ	Condom
5828	હજ	Hajj
5829	બારડોલી સત્યાગ્રહ	Bardoli Satyagraha
5830	ભારતીય પરિવહન	Transport in India
5831	કાયદો	Law
5832	કાર્તિકેય	Kartikeya
5833	રવિશંકર વ્યાસ	Ravishankar Vyas
5837	Chembox	Infobox chemical
5847	અસહકારની ચળવળ	Non-cooperation movement
5849	ચંપારણ અને ખેડા સત્યાગ્રહ	Champaran Satyagraha
5850	પ્રાણીશાસ્ત્ર	Zoology
5851	પ્રાણીશાસ્ત્ર	Zoology
5852	જળચર	Aquatic animals
5853	વનસ્પતિશાસ્ત્ર	Botany
5854	ઉભયચર	Amphibians
5855	કિટકશાસ્ત્ર	Entomology
5856	પ્રાગૈતિહાસિક કાળના પ્રાણીઓ	Prehistoric animals
5857	ઋતુ-પ્રવાસ	Animal migration
5858	મગર	Mugger crocodile
5859	શરીરવિજ્ઞાન	Physiology
5860	અંકગણિત	Arithmetic
5861	બીજગણિત	Algebra
5862	પૂર્ણ સ્વરાજ	Purna Swaraj
5863	દેવાયત બોદર	Devayat Bodar
5864	ગારીયાધાર	Gariadhar
5865	પ્રવાસન	Tourism
5866	દરિયાકિનારો	Beaches
5867	ગિરિ મથકો	Hill stations
5868	રણ પ્રદેશો	Deserts
5869	બેતવા નદી	Betwa River
5870	જાતીય શિક્ષણ	Sex education
5871	મૈથુન	Gender
5872	બિન-વેધક મૈથુન	Non-penetrative sex
5873	ભારતનો સ્વાતંત્ર્ય સંગ્રામ	Indian independence movement
5874	બાગમતી પ્રાંત	Bagmati Zone
5875	ગંડકી પ્રાંત	Gandaki Zone
5876	લુમ્બિની પ્રાંત	Lumbini Zone
5877	કર્ણાલી પ્રાંત	Karnali Zone
5878	ભેરી પ્રાંત	Bheri Zone
5879	રાપ્તી પ્રાંત	Rapti Zone
5880	લંડન	London
5881	વીર્ય	Sperm
5882	અંટાળીયા 	Antaliya
5883	હાથીગઢ 	Hathigadh
5884	આફ્રિકાના રાષ્ટ્રોની યાદી	List of sovereign states and dependent territories in Africa
5885	કુંદનલાલ સાયગલ	K. L. Saigal
5886	ક્રીપ્સ મિશન	Cripps Mission
5887	ફેલુદા	Feluda
5888	અંડ કોષ	Egg cell
5889	કાલ્પનિક પાત્રો	Fictional characters
5890	દ્વિજ	Dvija
5891	યજ્ઞોપવીત	Upanayana
5892	વર્ણવ્યવસ્થા	Caste system in India
5893	ગર્ભનિરોધ	Birth control
5894	વૈશ્ય	Vaishya
5895	સલામત મૈથુન	Safe sex
5896	ઘાંચી	Khasi people
5897	રેશમ માર્ગ	Silk Road
5898	રેશમ	Silk
5900	ધોળીધજા ડેમ	Dholidhaja Dam
5901	શ્રીહરિકોટા	Sriharikota
5902	મહારાજા સયાજીરાવ ગાયકવાડ ત્રીજા	Sayajirao Gaekwad III
5903	ગુજરાતના ડેમ	Dams in Gujarat
5904	ઇસ્લામ	Islam
5905	ધ્વજ સત્યાગ્રહ	Flag Satyagraha
5908	બકાસુર	Bakasura
5909	ભુવા ટીંબી 	Bhuvatimbi
5910	ભુવાવાડા 	Bhuvavada
5911	સ્વદેશી	Swadeshi movement
5912	User મુસ્લિમ	User Muslim
5913	મુસ્લિમ સભ્યો	Muslim Wikipedians
5914	ફ્રી સોફ્ટવેર	Free software
5915	ઓપરેટિંગ સિસ્ટમ	Operating systems
5916	પ્રોગ્રામિંગ ભાષા	Programming languages
5917	C શાર્પ 	C Sharp 
5918	લિંગ ઉત્થાન	Erection
5919	મક્કાલી ગોસાલ	Makkhali Gosala
5920	બાલુશાહી	Balushahi
5921	મહેશ ભટ્ટ	Mahesh Bhatt
5922	મટાણા 	Matana village
5923	પૂજા ભટ્ટ	Pooja Bhatt
5924	વેદ	Vedas
5925	અમૂલ	Amul
5926	છૂંદો	Chhundo
5927	અથાણાં	Pickles
5928	ઇન્ડિયન બેંક	Indian Bank
5929	ભારતની સહકારી સંસ્થાઓ	Cooperatives in India
5930	દાબેલી	Dabeli
5931	ભારતમાં પવન ઊર્જા	Wind power in India
5932	ભૌગોલિક સ્થાન	Geographic location
5933	દહીપૂરી	Dahi puri
5934	ગુજરાતના અભયારણ્યો	Wildlife sanctuaries in Gujarat
5935	ખીર	Kheer
5936	ધાનશાક	Dhansak
5937	ગુલાબ જાંબુ	Gulab jamun
5938	વડા	Vada 
5939	તૂટી ફાઈલ કડીઓને સાથે પાના	Pages with missing files
5940	જાંબુઘોડા અભયારણ્ય	Jambughoda Wildlife Sanctuary
5941	ગોપનાથ 	Gopnath Beach
5942	ભાવનગર તાલુકો	Bhavnagar Taluka
5943	નેપાળના જિલ્લાઓ	Districts of Nepal
5944	ઢાંચો documentation	Template documentation
5945	Articles with broken citations	Articles with incorrect citation syntax
5946	ઈંદોર	Indore
5947	ફરીદાબાદ	Faridabad
5948	ગુવાહાટી	Guwahati
5949	ભિવંડી	Bhiwandi
5950	ગુજરાતી સિનેમા	Gujarati cinema
5951	કોમ્પ્યુટર હાર્ડવેર	Computer hardware
5952	માર્ટિન લ્યૂથર કિંગ	Martin Luther King Jr.
5953	૧૯૬૧માં જન્મ	1961 births
5954	ગુપ્તરોગ	Sexually transmitted infection
5955	આફ્રિકા	Africa
5956	મહાદેવ ગોવિંદ રાનડે	Mahadev Govind Ranade
5957	કાજુ કતરી	Kaju katli
5958	પેરુ 	Psidium
5959	ચીકુ	Manilkara zapota
5960	નિશાન-એ-પાકિસ્તાન	Nishan-e-Pakistan
5970		
5973	મોસંબી	Citrus limetta
5974	દ્રાક્ષ	Grape
5975	દીવાદાંડી	Lighthouse
5976	દીવાદાંડી	Lighthouses
5977	ટાપુ	Islands
5978	સણોસરા 	Sanosara
5980	પપૈયાં	Papaya
5981	ભારતીય ચૂંટણી પંચ	Election Commission of India
5982	ધર્મના ઢાંચાઓ	Religious buildings
5983	જૈનત્વ ઢાંચાઓ	Jainism templates
5985	ફિલ્મફેર સર્વોત્તમ અભિનેતા પુરસ્કાર	Filmfare Award for Best Actor
5990	જીવ મિલખા સિંઘ	Jeev Milkha Singh
5991	કાસુંદરી 	Senna sophera
5992	સુનિધિ ચૌહાણ	Sunidhi Chauhan
5993	અલકા યાજ્ઞિક	Alka Yagnik
5994	રજનીકાંત વનમાળીદાસ ત્રિવેદી	Rajnikant Trivedi
5995	દોડવીર મિલખા સિંઘ	Milkha Singh
5996	સૌમ્યોક્તિ શબ્દો	Euphemisms
5997	ડૉ.કમલા બેનિવાલ	Kamla Beniwal
5998	કલ્યાણજી આનંદજી	Kalyanji–Anandji
6000	નિરમા યુનિવર્સિટી	Nirma University
6001	ફાલ્ગુની પાઠક	Falguni Pathak
6002	સોનૂ નિગમ	Sonu Nigam
6003	આલિશા ચિનોઇ	Alisha Chinai
6005	શ્રેષ્ઠ ફિલ્મ માટે સ્ક્રીન એવોર્ડ	Screen Award for Best Film
6006	બીદસર	Bidsar
6007	ઈડલી	Idli
6008	મગજ	Brain
6009	માધુરી દીક્ષિત	Madhuri Dixit
6010	મોર્સ કોડ	Morse code
6012	સંસ્કૃત	Sanskrit
6013	આયેશા ટાકિયા	Ayesha Takia
6014	હાજી અલારખિયા	Haji Mohammed Allarakha Shivji
6015	મણિશંકર રત્નજી ભટ્ટ	Kavi Kant
6016	જ્ઞાનપીઠ એવોર્ડ વિજેતા	Recipients of the Jnanpith Award
6017	ગુજરાતની નદીઓની યાદી	List of rivers of Gujarat
6018	કમ્પ્યુટર મોનિટર	Computer monitor
6019	કોમ્પ્યુટરના મૂળભૂત ઘટકો	Basic computer components
6020	કોમ્પ્યુટર કીબોર્ડ	Computer keyboard
6021	ઇમેજ સ્કેનર	Image scanner
6022	કમ્પ્યુટર પ્રિન્ટર	Printer 
6023	મેમરી કાર્ડ	Memory card
6024	યુનિવર્સલ સીરિયલ બસ	USB
6025	જિલ્લા કલેક્ટર	District collector 
6026	તાલુકા મામલતદાર	Tehsildar
6027	Irvin calicut	irvin calicut
6028	USB ડ્રાઇવ	USB flash drive
6031	હિંદુ દેવી દેવતા અને ગ્રંથ	Hindu deities and texts
6033	સ્ટ્રોબેરી	Strawberry
6034	આરસ ખડકો	Marble Rocks
6035	ધુંઆધાર ધોધ	Dhuandhar Falls
6036	બરડા અભયારણ્ય	Barda Wildlife Sanctuary
6037	જેસોર રીંછ અભયારણ્ય	Jessore Sloth Bear Sanctuary
6038	ગાગા અભયારણ્ય	Gaga Wildlife Sanctuary
6040	પ્રાણી સંગ્રહાલય	Zoos
6041	ભીમાશંકર	Bhimashankar Temple
6042	પક્ષી અવલોકન	Birdwatching
6043	ઉબુન્ટુ 	Ubuntu
6044	વિશ્વ સંભાષણ અક્ષમતા જાણકારી દિન	World Autism Awareness Day
6045	પીલ ડિસ્ટ્રિક્ટ સ્કૂલ બોર્ડ	Peel District School Board
6046	કેનેડા	Canada
6047	વિકિસ્રોત	Wikisource
6048	ઇ-ધરા કેન્દ્ર	E-Dhara Kendra
6049	માહિતીચોકઠું પુસ્તક	Infobox book
6051	માહિતીચોકઠું વર્તમાનપત્ર	Infobox newspaper
6052	પંચાયતી રાજ	Panchayati raj 
6053	ગ્રામ પંચાયત	Gram panchayat
6054	તાલુકા પંચાયત	Panchayat samiti 
6055	જિલ્લા પંચાયત	District Councils of India
6056	ભારતના ઉપરાષ્ટ્રપતિ	List of Vice-Presidents of India
6057	કુરુક્ષેત્ર	Kurukshetra
6058	ભારતીય જ્યોતિષવિદ્યા	Hindu astrology
6059	યોગ	Yoga
6060	વર્તુળનો પરિઘ	Circumference
6061	વર્તુળ	Circles
6062	રાષ્ટ્રીય ગ્રામીણ રોજગાર બાહેધરી યોજના	National Rural Employment Guarantee Act, 2005
6063	લાલભાઈ દલપતભાઈ ઈજનેરી મહાવિદ્યાલય	Lalbhai Dalpatbhai College of Engineering
6065	ભૂરિશ્રવા	Bhurishravas
6066	એકમ	Unit of measurement
6073	મગ	Mung bean
6077	ધૃષ્ટકેતુ	Chedi Kingdom
6078	ગુજરાતના રાજ્યપાલો	Governors of Gujarat
6079	જીસ્વાન	Gujarat State Wide Area Network
6080	ગુજરાત સરકાર	Government of Gujarat
6086	ઇજાઓ	Injuries
6092	સેન્ડબોક્ષ માટેના ઢાંચા	Sandbox templates
6096	Mbox templates	Mbox templates 
6104	Refimprove	More citations needed
6113	ભગદત્ત	Bhagadatta
6114	ખડિયા	Khadiya
6115	સભ્યોની ભાષાઓ	Wikipedians by language
6126	Portal	Portals
6127	રિકટર મેગ્નીટયુડ સ્કેલ	Richter magnitude scale
6128	ફેબ્રુઆરી ૩૦	List of non-standard dates
6129	નિષ્પક્ષ દૃષ્ટિકોણ	Neutral point of view
6131	નિષ્પક્ષતા વિવાદ	NPOV dispute
6135	મહાત્મા જ્યોતિરાવ ફુલે	Jyotirao Phule
6145	અજમો	Ajwain
6147	આયુર્વેદિક ઓસડિયાં	Ayurvedic medicaments
6149	અડદ	Vigna mungo
6153	Tsh	Template shortcut
6160	Wikipedia how to	Wikipedia how-to
6162	સંદર્ભ આપવા	Citing sources
6164	ઇંગ્લેન્ડ	England
6170	UF-datewarn	UF-date-warn
6175	Flat list	Flatlist
6177	દીક્ષાભૂમિ	Deekshabhoomi
6182	વિજયી	Won
6203	IPAEng	IPA-en
6206	રાજશ્રી પ્રોડક્શનસ્	Rajshri Productions
6207	જલારામ બાપા	Jalaram Bapa
6208	ઈંદ્રોડા પ્રકૃતિ શિક્ષણ અભયારણ્ય	Indroda Dinosaur and Fossil Park
6226	અનવરમિંયા કાજી	Anwarmiya Kaji
6227	લાલજી કાનપરિયા	Lalji Kanpariya
6228	બચુભાઇ રાવત	Bachubhai Ravat
6229	નલિન રાવળ	Nalin Raval
6230	ભૂપતભાઇ વડોદરિયા	Bhupat Vadodaria
6231	ફાધર વાલેસ	Carlos G. Vallés
6232	દક્ષા વ્યાસ	Daksha Vyas
6233	ગુલામમોહમ્મદ શેખ	Gulam Mohammed Sheikh
6234	હિમાંશી શેલત	Himanshi Shelat
6235	સુખલાલ સંઘવી	Sukhlal Sanghvi
6236	ભોગીલાલ સાંડેસરા	Bhogilal Sandesara
6237	આસિમ રાંદેરી	Asim Randeri
6238	રમણલાલ સોની	Ramanlal Soni
6239	ઉષા ઉપાધ્યાય	Usha Upadhyay
6241	Convert/numdisp/frac	Hands/numdisp/frac
6242	Convert/numdisp/frac0	Hands/numdisp/frac0
6243	Convert/numdisp/frac1	Hands/numdisp/frac1
6245	સુહાસી ધામી	Suhasi Dhami
6248	મહિષાસુર	Mahishasura
6250	Infobox Weapon	Infobox weapon
6252	યુઇએફએ યૂરો ૨૦૧૨	UEFA Euro 2012
6253	Infobox International Football Competition	Infobox international football competition
6254	Infobox International Football Competition/doc	Infobox international football competition
6256	Loremipsum	Lorem ipsum
6259	String templates see also text	String-handling templates
6275	યુઇએફએ યૂરો ૨૦૧૨ નામાંકન	UEFA Euro 2012 qualifying
6276	પોલેંડ રાષ્ટ્રીય ફૂટબોલ ટીમ	Poland national football team
6282	Substituted	Subst only
6287	યુઇએફએ યૂરો ૨૦૧૨ વિભાગ અ	UEFA Euro 2012 Group A
6289	Language icon	Link language
6292	Country data ENG	Country data England
6293	ભાગીદારી કરારનામું	Partnership
6312	કંપનીઓ	Companies
6313	આડેસર	Adesar
6314	અમરાપર	Amrapar
6315	ચિત્રોડ	Chitrod
6316	રવ મોટી	Rav, Kutch
6317	યુઇએફએ યૂરો ૨૦૧૨ સમયક્રમ	UEFA Euro 2012 knockout phase
6320	ભાટ્ટી	Bhati
6321	સભ્ય હિંદુ	User hindu
6327	બેલી બ્રીજ, લડાખ	Baily Bridge
6328	હાલોલ	Halol
6329	ઘૃષ્ણેશ્વર	Grishneshwar
6331	કુંભકર્ણ	Kumbhakarna
6332	અબુ હમઝા	Zabiuddin Ansari
6333	રામાયણ	Ramayana
6334	રામાયણનાં વિવિધ સંસ્કરણો	Versions of Ramayana
6345	મતદાનના ઢાંચાઓ	Voting templates
6346	ચુડાસમા	Chudasama dynasty
6347	પત્યું	Done
6348	પહેલેથી	Already done
6349	નહિ થાય	Not done
6351	પાત્રા	Patrode
6352	ગુરુ પૂર્ણિમા	Guru Purnima
6353	મંદિરો	Hindu temples
6354	લીંબુનું અથાણું	Preserved lemon
6355	હળપતિ	Dubla
6356	ચકરી	Chakli
6358	વૈદ્યનાથ જ્યોતિર્લિંગ	Vaidyanath Jyotirlinga
6359	હિંદી સાહિત્યકાર	Hindi-language writers
6360	ગોપાલ કૃષ્ણ ગોખલે	Gopal Krishna Gokhale
6361	ગઢડા તાલુકો	Gadhada Taluka
6363	કાકરાપાર અણુશક્તિ મથક	Kakrapar Atomic Power Station
6368	ખોપાળા 	Khopala
6369	સભ્ય સાઉથ આફ્રિકા	User South Africa
6371	૧૫૩૩માં જન્મ	1533 births
6373	સિતાર	Sitar
6375	સંદર્ભ આપો	Unreferenced
6376	બાલુચરી સાડી	Baluchari Sari
6377	તલીયારા	Taliyara
6378	પારસી ધર્મ	Zoroastrianism
6381	સંદેશા ઢાંચાઓ	Article message templates
6382	પાયથાગોરસ	Pythagoras
6384	મીથુન ચક્રવર્તી	Mithun Chakraborty
6385	નવસાર	Ammonia
6386	મકરધ્વજ	Makardhwaja
6387	પ્રફુલ્લ ચાકી	Prafulla Chaki
6388	કલ્પના ચાવલા	Kalpana Chawla
6389	فرح دیسائی	Pearz25
6391	ઘુમલી	Ghumli
6392	અબડાસા તાલુકો	Abdasa Taluka
6393	આંધ્ર પ્રદેશના મુખ્યમંત્રીઓ	List of Chief Ministers of Andhra Pradesh
6394	એકવાર પિયુને મળવા આવજે	Ek Var Piyu Ne Malva Aavje
6395	અરુણાચલ પ્રદેશના મુખ્યમંત્રીઓ	List of Chief Ministers of Arunachal Pradesh
6396	આસામના મુખ્યમંત્રીઓ	List of Chief Ministers of Assam
6397	બિહારના મુખ્યમંત્રીઓ	List of Chief Ministers of Bihar
6398	છત્તીસગઢના મુખ્યમંત્રીઓ	List of Chief Ministers of Chhattisgarh
6399	દિલ્હીના મુખ્યમંત્રીઓ	List of Chief Ministers of Delhi
6400	ગોઆના મુખ્યમંત્રીઓ	List of Chief Ministers of Goa
6401	બળવંતરાય ઠાકોર	Balwantray Thakore
6402	કાશી વિશ્વનાથ	Kashi Vishwanath Temple
6403	રામેશ્વરમ	Rameswaram
6405	દીના પાઠક	Dina Pathak
6406	શિક્ષાપત્રી	Shikshapatri
6407	હરિયાણાના મુખ્યમંત્રીઓ	List of Chief Ministers of Haryana
6408	હિમાચલ પ્રદેશના મુખ્યમંત્રીઓ	List of Chief Ministers of Himachal Pradesh
6409	શિક્ષક દિન	List of Teachers' Days
6410	રાવલા મંડી	Rawla Mandi
6411	બિંદુ 	Bindu 
6412	વીર્ય દાન	Sperm donation
6413	જમ્મુ અને કાશ્મીરના મુખ્યમંત્રીઓ	List of Chief Ministers of Jammu and Kashmir
6414	ઝારખંડના મુખ્યમંત્રીઓ	List of Chief Ministers of Jharkhand
6415	નિરુપા રોય	Nirupa Roy
6416	અક્ષરધામ 	Akshardham 
6417	ઉમદા લેખ	Featured article
6418	દાદા ખાચર	Dada Khachar
6419	Wikipedia bots	All Wikipedia bots
6420	ભારતીય ક્રાંતિકારી	Indian revolutionaries
6421	ભૌતિક અનુસંધાન પ્રયોગશાળા	Physical Research Laboratory
6423	દિવાન બલ્લુભાઇ શાળા	Divan-Ballubhai School
6425	અદિતિ શર્મા	Aditi Sharma
6426	વિશ્વ સાક્ષરતા દિન	International Literacy Day
6427	મુઝફ્ફર વંશ	Muzaffarids 
6428	સ્થાપત્ય	Architecture
6429	કર્ણાટકના મુખ્યમંત્રીઓ	List of Chief Ministers of Karnataka
6430	કેરળના મુખ્યમંત્રીઓ	List of Chief Ministers of Kerala
6431	કેથોલિક યુનિવર્સિટી ઓફ સેકર્ડ હર્ટ	Università Cattolica del Sacro Cuore
6432	આકાશવાણી	All India Radio
6435	વિકિપરિયોજના	WikiProject
6436	વિકિપરિયોજના	WikiProjects
6438	અમદાવાદ જિલ્લાનાં ગામો	Villages in Ahmedabad district
6450	કલર્સ ગુજરાતી	Colors Gujarati
6451	TV9 ગુજરાત	TV9 
6454	અવર્ગીકૃત	Uncategorized
6455	શ્રેણી ઉમેરો	Uncategorized
6456	રાણકી વાવ	Rani ki vav
6457	સરસ લેખો	Good articles
6460	દક્ષિણ ગંગોત્રી	Dakshin Gangotri
6462	મધ્ય પ્રદેશના મુખ્યમંત્રીઓ	List of Chief Ministers of Madhya Pradesh
6463	મહારાષ્ટ્રના મુખ્યમંત્રીઓ	List of Chief Ministers of Maharashtra
6464	મણિપુરના મુખ્યમંત્રીઓ	List of Chief Ministers of Manipur
6465	મેઘાલયના મુખ્યમંત્રીઓ	List of Chief Ministers of Meghalaya
6466	મિઝોરમના મુખ્યમંત્રીઓ	List of Chief Ministers of Mizoram
6467	નાગાલેંડના મુખ્યમંત્રીઓ	List of Chief Ministers of Nagaland
6468	ઑડિશાના મુખ્યમંત્રીઓ	List of Chief Ministers of Odisha
6469	Infobox Software	Infobox software
6470	Infobox tennis player	Infobox tennis biography
6473	પ્રેમાનંદ	Premanand Bhatt
6475	તારક મેહતા કા ઉલ્ટા ચશ્મા	Taarak Mehta Ka Ooltah Chashmah
6479	હિંદુ તહેવારો	Hindu festivals
6480	પ્રતિક	Symbols
6481	આયાતકો	User access levels
6482	નોવાક યોકોવિચ	Novak Djokovic
6483	ગુજરાતી ટીવી ચેનલો	Gujarati-language television channels in India
6518	Country data New York	Country data New York 
6535	Country data Washington	Country data Washington 
6552	સુએઝ નહેર	Suez Canal
6557	ગુજરાત વિધાનસભા	Gujarat Legislative Assembly
6559	ઇટાલી	Italy
6560	ભોંઆમલી	Phyllanthus niruri
6561	મોવેમ્બર	Movember
6572	અમદાવાદમાં આવેલી શૈક્ષણિક સંસ્થાઓ	Universities and colleges in Ahmedabad
6573	જાવા 	Java 
6574	કોમ્પ્યુટર નેટવર્ક	Computer network
6575	PHP 	PHP
6576	કમ્પ્યુટર વિજ્ઞાન	Computer science
6577	કમ્પ્યુટર નેટવર્ક	Computer network
6584	ઍન્ટાર્કટીકામાં આવેલ સંશોધન મથકો	Outposts of Antarctica
6585	ઍન્ટાર્કટીકા	Antarctica
6586	બકરી ઈદ	Eid al-Adha
6587	ગો 	Go 
6588	ભેંસાણ, જૂનાગઢ જિલ્લો	Bhensan
6589	ગ્રહ	Planets
6598	ખ્રિસ્તી ધર્મ	Christianity
6599	ફેફસાં	Lung
6600	ભારતમાં સત્તાવાર દરજ્જો ધરાવતી ભાષાઓ	Languages with official status in India
6601	ભારતના રાજ્ય પ્રાણીઓની યાદી	List of Indian state animals
6602	ભારતના રાજ્ય ફૂલોની યાદી	List of Indian state flowers
6603	ભારતના રાજ્ય વૃક્ષોની યાદી	List of Indian state trees
6604	ભારતના રાજ્ય પક્ષીઓની યાદી	List of Indian state birds
6605	ભારતીય રાજ્યોના પ્રતિકો	Emblems of Indian states
6606	અમદાવાદ શહેર	Ahmedabad
6607	મરાઠી લોકો	Marathi people
6608	મહારાષ્ટ્રના લોકો	People from Maharashtra
